text,sentiment
I love this product,positive
Amazing experience,positive
Very good service,positive
Excellent quality,positive
Best purchase ever,positive
I hate this item,negative
Worst product,negative
Very disappointing,negative
Terrible experience,negative
Waste of money,negative
The product quality exceeded my expectations and delivery was quick,positive
I am very satisfied with the customer support team,positive
The mobile app is easy to use and works smoothly,positive
This laptop performs exceptionally well for programming tasks,positive
The food was delicious and the service was excellent,positive
The product stopped working after two days,negative
Customer support never responded to my complaint,negative
The application crashes every time I open it,negative
The hotel room was dirty and poorly maintained,negative
This is the worst online shopping experience I have ever had,negative
